Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Benin,13.26021763,12.60458956,13.4646841,11.98421878,13.55957461,14.77756252,13.28105291,12.69455572,10.89089607,10.74597005,15.64145423,15.4474579,15.28399511,13.68591036,13.35955213,14.13852488,13.00582298,15.80946551,14.54941707,16.99679649,14.07577898,14.72778322,14.23593316,14.8940283,14.22455653,18.15256298,15.42778642,17.78497173,16.56750801,14.6011117,17.41977872,17.45903048,16.99198886,16.74353716,16.31834183,16.16173141
Bolivia,22.77613215,24.18092033,25.25327798,27.18143385,26.76665075,25.78057966,26.04760684,28.27968646,29.97289953,29.36430855,29.31436442,31.95486251,33.292648,31.9897384,32.34451189,33.18251324,29.83408691,32.65260244,35.33283538,35.81952158,31.49965639,35.35582063,36.0381816,38.43103113,43.25670383,44.59015488,39.92912071,38.59775622,37.09485575,36.06655671,36.13463283,34.15578015,33.12560185,32.28987083,31.70649381,31.09382807
Brazil,no data,no data,no data,no data,no data,no data,38.24935616,38.60092975,40.90043162,39.58862498,34.48192777,36.23316867,38.91632404,40.99211602,38.17061158,39.76205699,39.1956731,37.61921358,37.41172973,37.10045733,39.89304715,37.57554218,37.22775572,37.4460061,38.516849,38.48202726,39.63903391,38.3028057,38.08842656,37.8580438,44.82456566,36.33278921,36.29927565,36.2874052,36.28935593,36.14635524
Burkina Faso,18.42248137,16.96855283,16.7498448,17.86468498,17.82985446,19.43548402,19.75207986,20.02601935,19.7406434,21.39428494,19.82713696,19.65976603,19.46650921,17.59845392,20.25718415,20.21697232,21.87810798,22.83847893,18.59056787,21.51911554,21.65504807,20.43603138,22.66797569,25.26057384,20.92772387,20.35874226,21.64984443,26.13070409,23.75777019,23.86765131,28.16033992,25.70208482,25.48699004,25.15721135,24.9090476,25.19315713
Cambodia,no data,no data,no data,no data,no data,no data,15.66490371,12.41708393,13.40577086,13.8061446,15.04475202,15.13271929,16.87983078,15.74898536,13.86466749,12.33181748,12.95237092,14.40358936,15.3822671,20.39963964,20.90348501,20.59456476,21.67966076,21.36628957,21.71838911,20.27168952,21.11816596,22.37486924,23.17469665,23.0201357,24.01780313,23.8024565,24.15104944,24.54397353,25.09844832,25.01092756
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.23418152,15.40792117,14.79548576,14.41756027,14.45589595,13.50560152,13.49625065,14.38413407,16.63108071,15.72020787,15.96287754,18.60916444,17.77242134,20.02191314,20.86301894,20.90044933,20.90821851,19.82568887,18.54628735,19.05396354,17.32689338,17.51790942,17.19019886,16.61741545,16.50788023,16.31531552
Canada,48.09036939,51.43757312,52.50697348,51.47736993,49.01233882,47.73460507,45.86350389,43.46330351,43.40607816,41.77336256,40.55761339,41.10216916,40.39385303,40.27568904,39.13467607,38.52060017,38.66079471,38.51904814,38.77538335,43.4207495,43.06394534,41.57524282,40.92620352,39.96074117,38.3704831,40.01841803,40.7532331,40.56196164,41.04726205,41.16207542,57.32016826,46.05555624,43.79405087,41.98921104,40.94336722,40.11550593
Chad,no data,no data,no data,no data,no data,15.95313529,15.55283437,15.57410007,13.1613745,16.7193486,18.20839529,15.55008942,17.87908683,19.34327967,12.76002544,11.51028539,13.93197465,17.06091372,18.7948444,24.13864808,24.35449036,22.36826121,23.87877727,22.80497661,21.97789758,18.340267,14.3660173,14.88007968,13.34967233,14.42110198,19.31128047,17.50259783,16.71271899,16.32079207,16.21287308,15.67684912
Chile,21.04563735,21.31699939,20.94145482,21.27841329,20.7289453,19.54801206,20.78077594,20.78084267,22.02203826,23.84982593,22.99725622,23.35966337,23.38955209,22.47232592,20.78496989,20.13628159,18.60636181,19.1949048,21.81292153,24.86974873,23.34842168,22.80375659,23.09968296,23.05645301,23.7532755,24.88472204,25.25907295,25.43482273,25.36128968,25.84942649,29.34797886,29.82780996,27.71264609,27.19073105,26.30000304,25.35509351
"China, People's Republic of",18.20705488,16.64282859,14.74949696,13.52983761,12.46910427,11.17719774,11.09503161,11.62684989,12.73508481,15.02486662,16.26820517,17.43986498,18.46432283,18.22788897,17.87101847,18.26693419,18.338882,18.15100102,22.52521203,25.65447295,25.09436421,27.11906978,28.15872875,28.56443805,28.99315154,31.60542428,31.91813156,31.64680876,32.92704161,33.9718687,36.26211858,36.75098503,35.87489766,34.96406297,34.05064201,33.10599763
Colombia,17.44793986,17.69122994,18.40809449,20.00272347,20.57211148,22.19598711,25.06865461,26.17620681,26.34079388,28.25904984,26.59804312,27.71657473,28.07845121,28.01816807,26.59278578,25.88925455,28.44116365,28.16216752,28.42879281,30.91421702,30.35022573,30.23341517,29.09255369,29.99840388,31.26120388,31.27735055,29.99365757,29.32049071,34.7232779,31.85796305,35.45101283,32.81163532,30.59287334,30.09326222,29.35561446,29.20449773
"Congo, Dem. Rep. of the",no data,no data,no data,no data,no data,no data,2.173257294,2.512073837,2.78476404,2.147378498,2.4828378,4.258294018,4.17344595,9.185948372,7.450820596,8.726318817,9.057554778,9.733984908,11.67121944,12.46966355,15.92084461,13.98460081,13.73568009,12.74954566,18.49012531,17.23167483,14.47644599,10.38772303,11.1388736,12.92301373,12.46770215,14.15681037,14.7982699,15.46582235,15.89697712,15.84946281
