Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Benin,10.88682708,10.3527534,11.48073492,11.57083895,11.99331372,12.86443832,13.17278986,13.16278888,12.72307283,12.69011699,11.94925497,12.17803124,11.95410272,12.61387,12.65477947,12.61524136,12.85928007,16.03146974,14.50851246,14.75579379,13.80024047,13.74647421,14.02036749,13.52899431,12.57401213,12.59972709,11.13915576,13.58122705,13.59107181,14.06153341,13.67770203,14.01359028,14.21359028,14.11359028,14.11359028,14.01359028
Bolivia,18.37613142,19.9809203,20.85327791,21.08143392,23.76665075,23.96399524,24.14760682,24.99878381,24.87289953,25.52774149,25.58623401,25.13526236,24.50462908,24.11434327,26.80109231,30.93777854,34.30398261,34.39338284,38.90231953,35.83364365,33.1655584,36.1872081,37.79500156,39.08739761,39.89307964,37.68588856,32.6856957,30.77399123,28.95110064,28.84492728,27.57001536,27.08003084,27.2382167,27.20856323,27.1629286,27.13983454
Brazil,no data,no data,no data,no data,no data,no data,32.90310947,32.99698956,33.67984918,34.41406732,31.16225189,33.06140998,34.49666694,35.81490331,35.29457292,36.22348267,35.62599318,34.88196009,35.87839041,33.91291337,36.06940623,35.10859978,34.70817841,34.49100182,32.4957863,28.22907101,30.64819145,30.44614524,30.92500774,31.84411206,28.04325076,29.81402509,30.71413984,30.6529132,30.41948433,30.24945061
Burkina Faso,10.88652386,14.19699637,14.24072551,14.054273,15.94277784,16.7898959,18.08601007,17.38317047,17.14294966,18.10738073,16.7993067,16.10232244,15.03389157,15.80854109,16.06312973,15.3274395,36.22378177,17.8235595,14.96325339,17.35867211,17.59670432,18.39661287,19.90470612,21.71259521,19.19030772,18.26902538,18.5649726,19.24651768,19.4029983,20.39933589,22.07560911,21.10208482,21.48699004,21.65721135,21.9090476,22.19315713
Cambodia,no data,no data,no data,no data,no data,no data,8.129115469,8.693262501,8.048011879,10.00370528,10.22930488,9.986305168,10.49878973,9.580466538,10.30315386,11.94758866,12.77999988,15.13033689,15.8853616,15.61856275,17.10808,15.89972684,17.15492162,18.74997045,20.07571619,19.62564807,20.81848384,21.59977876,23.85114303,26.23390939,21.61597859,21.41564884,20.95136227,20.68573376,20.64428238,20.67688817
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.84860846,16.31682278,16.40354421,15.031116,13.96450527,16.79809216,43.94890701,18.52314656,18.72151023,15.67667933,14.98282631,16.25465908,16.32598967,16.31664673,16.61249182,16.47880804,14.8161799,14.95394391,16.05866276,15.74264523,13.2023119,14.24526818,14.58418403,14.66516926,14.84144887,14.95367936
Canada,42.17894726,43.07817485,43.30782422,42.54260498,42.07636129,42.24496495,42.81093793,43.50200568,43.54876094,43.4289388,43.19731735,41.63163813,40.15995724,40.14873118,39.90234561,40.07372027,40.48839907,40.33870394,38.95980848,39.53939773,38.32638675,38.26651026,38.40168651,38.46603517,38.54537926,39.95657244,40.30006887,40.43585865,40.65056371,40.81570291,37.39637079,37.33628881,38.40862746,39.00412914,39.50938341,39.84308449
Chad,no data,no data,no data,no data,no data,11.90078984,11.84178079,12.22844903,10.91658599,11.44075816,12.13564456,10.96475239,12.58743844,13.74534231,10.37306423,11.44182465,16.15161912,19.58567129,22.40916033,14.93541929,20.20261025,24.75899499,24.35210138,20.73990886,17.79553833,13.96009239,12.42940818,14.64863556,15.28567664,14.24905465,18.67245046,16.27594913,17.49369612,18.48305552,17.08009577,17.49340553
Chile,23.30205522,22.86317784,23.04995852,22.69790746,22.17384697,22.6644118,22.86623586,22.83973186,22.41426323,21.81858424,22.30055815,22.86123297,22.20937605,22.05207438,22.83259419,24.67887079,26.06581016,27.10375844,25.74731338,20.62884579,22.98772248,24.22533195,23.780807,22.58682719,22.26281917,22.80785271,22.60961793,22.81322794,23.89645822,23.20196892,20.64307924,25.82157449,23.91234895,24.14990576,23.98539118,23.80771122
"China, People's Republic of",17.48819978,15.5992275,13.52457017,12.63441632,10.77889914,10.22467272,10.3548177,10.89346971,11.6474314,12.70222112,13.42221366,14.84399333,15.58077737,15.83359165,16.35918998,16.86545043,17.19518511,18.20994015,22.50043852,23.90366434,24.73238561,27.02097204,27.85701361,27.72828268,28.10786403,28.81332635,28.21512596,27.81138885,28.27214333,27.65976593,24.37515632,24.9710288,24.9710288,24.9710288,24.9710288,24.9710288
