Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
Venezuela,3.837691511,-2.276180348,-6.367893672,-2.920910866,-11.18743968,-5.864383715,7.939882773,2.577187545,-4.489350282,0.742750787,4.449624304,-4.593408018,-1.48231228,0.171416445,2.470453084,4.094750866,-1.604650049,-2.815425963,-3.46101926,-8.685966478,-4.73949128,-8.243967775,-10.4465382,-11.26458124,-15.55323382,-10.65156915,-10.81212977,-22.99085952,-31,-9.999465768,no data,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,-0.099042296,-1.245925619,-1.60529925,-2.192236998,-1.854854771,-2.558550073,-0.149638141,-0.954019503,0.200491641,-1.738759439,-0.447228868,-4.824318783,-2.250905932,-0.900955874,-5.46226463,-5.964025798,-5.016688996,-4.983205301,-3.163962021,-1.963997571,-1.022605752,-3.294185678,-6.02236079,-5.171771439,-4.524036044,-4.120541744,-3.87748834,-3.304144809
Yemen,-10.2734853,-5.761653995,-10.9048328,-12.79583453,-14.02725769,-5.739307577,-0.917932172,-1.502049329,-7.771003278,0.060175298,6.08732201,2.787014748,-0.555482488,-4.200715724,-2.152456222,-1.821754146,1.186180547,-7.183132372,-4.531695393,-10.21097569,-4.058458583,-4.506747746,-6.31517652,-6.897118695,-4.136083974,-8.749793204,-8.525614047,-4.904564229,-7.848562754,-5.31944684,-9.210897916,-6.041757581,-4.557229898,-4.956929781,-3.036740266,-2.132045618
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.160610163,-5.892186391,-4.498904659,-5.314294719,-2.508440648,-2.372064414,16.91274579,-1.036850222,-0.667891772,-2.057125339,-2.432209004,-1.783438537,-2.831718812,-6.207747691,-5.798845179,-9.539029619,-6.097491444,-7.587781846,-8.427612471,-8.142850247,-5.996931736,-5.036359965,-3.955500406,-2.877669085,-1.975177558,-0.062436748
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-5.26517148,-2.14951619,-2.523453985,-1.804189355,-2.175792257,0.618568643,-2.163948026,0.806975674,-0.620527424,-0.420596268,-1.418291592,-6.241511596,-8.113188453,-4.498821028,-1.64893392,-1.847507269,-0.817953284,0.138267179,0.218380928,-0.112793652,-0.373099001
Advanced G-20,no data,-2.608441616,-3.368802933,-4.591400145,-4.578630663,-5.45167645,-4.057269141,no data,no data,no data,no data,-1.90588484,-3.916355322,-4.495959925,-3.804832799,-3.06445368,-2.038365338,-1.984141292,-4.263005037,-9.47852908,-8.402836707,-7.031638607,-6.087545807,-4.100107094,-3.430429572,-2.886292646,-3.111875178,-2.948514638,-3.317156517,-3.982679807,-15.47096794,-7.465284658,-5.049692562,-4.169472881,-3.888521221,-3.832519708
Advanced economies,no data,-2.69390878,-3.571407256,-4.716520245,-4.531154022,-5.339342027,-3.783279601,-2.356203795,-3.805169804,-2.341704918,-2.333313332,-1.65431978,-3.51880586,-4.02054024,-3.281625329,-2.468025286,-1.413246099,-1.271119062,-3.550066609,-8.736682171,-7.732471036,-6.323210501,-5.524146913,-3.73032478,-3.116015718,-2.624126936,-2.68081033,-2.384032503,-2.691074733,-3.299359105,-14.38738758,-6.899963683,-4.588794329,-3.72120323,-3.427063713,-3.348095634
Emerging G-20,no data,no data,no data,-2.565463031,-3.057496097,no data,-3.223123318,-3.467670656,-4.890638139,-4.294460138,-3.165951379,-3.769434316,-3.98981962,-3.392325005,-1.390014555,-0.180907948,0.249092281,0.069072898,0.547433529,-3.79351381,-2.485193749,-1.081096603,-1.216082299,-1.823580095,-2.581763322,-4.451861066,-4.867120757,-4.309680219,-4.289442082,-5.481815069,-11.26596188,-9.946858383,-8.982132383,-8.285560624,-7.658469842,-6.980913635
Emerging Market and Middle-Income Economies,no data,no data,no data,-2.635743968,-2.817215961,-1.968699648,-2.139937256,-2.605109406,-4.499412969,-3.456563367,-1.642664221,-2.978626439,-3.531948456,-2.754330761,-0.949508922,0.688043304,1.014951706,0.861294469,0.814009157,-3.643805349,-2.218593736,-0.939614751,-0.940249904,-1.460248055,-2.435095082,-4.264333209,-4.76225744,-4.153229932,-3.83317274,-4.909930747,-10.72011891,-9.156441337,-8.096970719,-7.474692269,-6.924378099,-6.344143474
Emerging and Middle-Income Asia,-3.61912286,-3.205730651,-3.085346341,-2.290867999,-2.55389879,-1.352584101,-1.148897483,-2.090499121,-3.466599013,-4.095444991,-4.100157185,-4.408520466,-4.633754467,-4.087284747,-3.038751636,-2.456038424,-1.98843849,-1.106726932,-1.677851945,-3.305891333,-2.158814854,-1.619003839,-1.592303477,-1.801975297,-1.860362077,-3.266049014,-3.940732163,-3.974102273,-4.522012909,-6.083889662,-11.40055936,-10.96218829,-9.991997808,-9.205075387,-8.468258461,-7.716288721
Emerging and Middle-Income Europe,no data,no data,no data,no data,no data,no data,no data,no data,-5.832683936,-2.918371217,-2.830068887,-3.161168825,-4.118181607,-3.143195785,-0.900572093,1.680382099,2.191791144,1.333553123,0.539841742,-5.772266631,-3.710440041,-0.238638414,-0.723307633,-1.488405816,-1.437561426,-2.697092963,-2.883375178,-1.841898593,0.35494924,-0.729757198,-7.178867239,-4.45783931,-3.44096074,-3.401947941,-3.318180626,-3.166898949
Emerging and Middle-Income Latin America,no data,no data,no data,-0.979786218,-2.130984307,no data,-3.574707039,-3.639680414,-5.007182962,-4.270700639,-2.53072978,-3.219154345,-2.780038881,-2.70525588,-1.023424836,-1.05424432,-1.282335012,-1.173453742,-0.828810513,-3.623111204,-3.31794645,-2.654204165,-2.85739686,-3.1729043,-5.044967258,-6.768972661,-6.174178837,-5.549906372,-5.211934486,-4.093397871,-11.08945224,-5.289173266,-4.179111832,-3.924502353,-3.821813517,-3.672118439
Emerging and Middle-Income Middle East and North Africa and Pakistan,-1.998535881,-3.298803934,-5.295931216,-7.072479798,-5.205325876,-2.027276544,0.679638695,0.550909574,-4.37824859,-0.188080097,7.001081131,1.000251965,-1.086242465,2.034186948,6.470421013,13.22046763,13.76277309,11.55668729,14.25756772,-0.953989841,3.108525336,5.192665753,6.858737089,4.962781261,-1.115722265,-7.666923588,-10.18635435,-5.74733034,-2.468852153,-3.411093239,-9.847744633,-6.996631542,-5.332088737,-4.698145825,-4.196572106,-3.624917834
Euro area,no data,-5.100464822,-5.142805968,-5.865618315,-5.057116862,-7.330581567,-4.360717729,-3.051287442,-2.445031052,-1.51339778,-1.27255729,-1.957010655,-2.672061713,-3.091343624,-2.865330616,-2.590350374,-1.50859569,-0.637202973,-2.155352296,-6.230037013,-6.270072737,-4.230265999,-3.706521069,-3.012908926,-2.460525945,-1.978580344,-1.458744176,-0.962460894,-0.457503231,-0.645093829,-10.11034574,-4.990097916,-2.661332771,-2.06074505,-1.810718587,-1.755004818
Low-Income Developing Asia,-0.403447001,0.367640504,-0.292085736,-0.392674412,-0.14037355,no data,no data,no data,-1.772994298,-1.710179822,-2.521205734,-3.360890493,-2.590873981,-2.507746758,-1.508029166,-1.662234638,-0.770140098,-1.590351448,-1.699812032,-4.047564356,-2.482231651,-2.248854629,-3.980470698,-4.264764921,-3.718963817,-4.126393914,-3.297879018,-2.736202186,-2.933946943,-4.107995313,-6.319282462,-5.669357035,-5.037604817,-4.62973921,-4.240871006,-3.894345628
Low-Income Developing Countries,-2.633945975,-2.785420909,-3.052315145,no data,-4.463116081,0.468296411,1.161457457,-0.284966318,-3.149855933,-1.987863257,-0.720312847,-2.489938192,-1.524922334,-2.233905941,0.164956323,0.208315412,3.490688934,-1.344607742,0.993163054,-3.820963261,-2.734324361,-1.241436475,-2.008918035,-3.309753632,-3.1307137,-3.731349444,-3.712212954,-3.614388715,-3.440993252,-3.998711081,-6.222847027,-5.078224327,-4.482315628,-4.083138678,-3.864544463,-3.658355179
Low-Income Developing Latin America,-2.150641075,no data,no data,no data,no data,no data,no data,0.286846072,1.96023548,-0.205588509,0.753174554,-1.930971427,-2.39081802,-2.78199739,-1.114827673,0.216055374,-0.657145905,-0.318512449,-0.906207678,-3.606937784,-2.311603424,-2.035250999,-2.795311424,-4.561800109,-3.153469019,-1.333320682,-0.721313109,-0.680709651,-1.093089122,-0.504257215,-3.933445481,-3.097807647,-0.962969034,-1.078413111,-1.463977785,-1.608285073
Low-Income Developing Oil Producers,-2.361828163,-2.806801866,-2.286789197,-9.786598962,-6.793930635,2.506102233,4.532993991,1.475900292,-4.953644174,-1.925782835,3.976773581,-2.46099514,0.724731468,-2.418193273,4.44087589,4.426020457,8.292340406,-1.204559006,5.431789491,-5.529146673,-3.585050157,0.600105627,0.047649887,-2.60087955,-2.546876118,-4.008932956,-4.714933566,-5.365944016,-4.120269968,-4.502675355,-6.661528865,-4.875146106,-4.923023803,-4.254845844,-4.308279894,-4.317448201
Low-Income Developing Others,-11.16835268,-8.807608278,-9.434752227,-11.94276382,-10.66624885,-4.105024446,-2.420897421,-2.224903663,-3.551316348,-2.248556546,-0.887964614,-1.073145419,-2.441200219,-2.109054249,-1.561422923,-2.236856778,0.194990193,-2.010846241,0.723337596,-3.322710571,-0.318510977,-0.309825175,-1.391703533,-2.523150463,-1.678293267,-3.260593079,-2.985000715,-2.77003782,-3.034534421,-3.746979643,-6.10813786,-3.883036046,-2.523010577,-2.087718409,-1.567586488,-1.348874202
Low-Income Developing Sub-Saharan Africa,no data,-3.023162612,-2.759878412,no data,-4.182493398,1.4475633,2.286285309,0.247337884,-3.651918714,-2.182202496,0.222728116,-2.327168338,-0.734640552,-2.084256427,1.401947255,1.527239523,6.086648192,-1.150948686,2.221745642,-3.827539169,-3.375469005,-0.915480252,-1.155242316,-2.960257936,-3.112921713,-3.707474051,-4.250687903,-4.482894907,-3.945699734,-4.093660627,-6.25517182,-4.860462103,-4.422798055,-4.006238657,-3.914861948,-3.792784144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
