Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
Croatia,no data,no data,-3.213777631,-0.483443651,1.751680196,-1.135223401,-1.198606901,-1.710249672,-2.745567585,-7.022565165,-5.493984205,-5.722979164,-3.289686243,-4.520851876,-4.966811956,-3.665671664,-3.13230834,-2.229337249,-2.824075009,-6.047900209,-6.465801166,-7.913683099,-5.353804912,-5.337294578,-5.349518021,-3.315317225,-0.950511008,0.796993671,0.221874641,0.393216117,-8.078484706,-4.14466882,-2.5262306,-2.304208692,-2.244962642,-2.190017973
Cyprus,no data,no data,no data,no data,no data,-0.712397275,-2.956325584,-4.821161999,-3.851035883,-4.053845759,-2.239756864,-2.107402184,-4.13063795,-5.907264971,-3.711615487,-2.22433614,-1.041243492,3.228164349,0.865878293,-5.433321732,-4.696572368,-5.6657796,-5.566186229,-5.172576675,-0.234369615,0.012901778,0.089016526,1.661701522,-4.232701606,1.735350009,-5.57625146,-2.031526494,-0.306758888,0.259714468,1.121264563,1.500589537
Czech Republic,no data,no data,no data,no data,no data,-12.35590169,-2.994279092,-3.164446501,-4.16178249,-3.117333775,-3.564195284,-5.461966573,-6.334230404,-6.852675378,-2.368304567,-2.972515531,-2.160395663,-0.650234109,-1.970510975,-5.417138724,-4.157836343,-2.705250173,-3.902064901,-1.234162022,-2.083890389,-0.610977092,0.711630264,1.501112461,0.910725293,0.267435865,-7.30254242,-4.292313063,-3.203529202,-2.364628379,-1.681559393,-1.142742442
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,-0.749175759,-0.696897772,-1.267979261,-0.830559712,0.699235343,-0.637288854,-1.261225704,-1.037878143,-1.025135214,-1.034356877,-0.388508176,-0.209870742,-1.001255354,-1.33690442,-2.889174268,-2.276506599,-1.620946129,-1.568286088,-2.042156577,-3.006059478,-3.332772864,-2.94467195,-2.287973304,-5.400052381,-4.098140476,-2.997585795,-2.997610249,-2.996197691,-2.994535683
Denmark,-1.537945455,-2.930545247,-2.571247488,-3.672401574,-3.602986851,-3.62003043,-2.482573914,-1.200213938,-0.388537142,0.868934154,1.887315728,1.14055439,-0.015387103,-0.133147637,2.073171218,4.955097249,4.987100686,5.020456096,3.173907975,-2.798141618,-2.710215658,-2.055766184,-3.490444865,-1.235647209,1.144427647,-1.329580879,-0.105986833,1.520340397,0.476545824,3.807031044,-3.988057352,-2.993465647,-1.515520953,-0.246933309,-0.073772347,0.039236238
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,-1.14386736,-0.771255869,-1.298563483,-1.395000562,-1.628853133,-1.809342111,-6.186537755,-3.447419839,-0.403013247,-0.941832349,0.105153081,-3.249804156,-3.016830321,-2.728864335,-3.050161114,-6.560338978,-3.472395611,-2.752731334,-0.033001055,-3.103226919,-3.087523747,-2.160391463,-2.19539323,-7.786071786,-3.3054972,-1.971995552,-1.459414282,-1.609721125,-1.577581784
Ecuador,no data,no data,no data,no data,no data,-1.937034889,-3.292046488,-2.703631201,-4.87985012,-4.617337897,-0.306545905,0.030917104,0.699457232,0.9980083,1.867465896,0.641330682,2.851907229,2.597920152,0.56232864,-3.569994934,-1.357407946,-0.126728357,-0.937175392,-4.570096766,-5.223995794,-6.119415471,-8.231522464,-4.461325137,-3.175351414,-3.16917752,-8.919917664,-2.923472615,0.588718291,1.838093743,2.405217568,2.260429235
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.135181042,1.32027816,-1.06982542,-6.76778842,-5.729070408,-5.762199715,-6.687293436,-7.354560014,-4.898811489,-6.049311935,-6.195440023,-7.446819593,-9.600046002,-10.00495133,-12.92682219,-11.28648436,-10.93400723,-12.46991954,-10.4287147,-9.410494884,-7.40869093,-7.488764266,-8.082953154,-5.156387924,-4.36476325,-4.027417984,-3.750282962
Estonia,no data,no data,no data,no data,no data,-0.230436544,-0.90658179,3.01102361,0.676073873,-3.392761528,-0.087438652,0.179144903,0.401308278,1.793396052,2.371237748,1.114890351,2.896765542,2.693203998,-2.646999166,-2.171671967,0.185391035,1.146992521,-0.255623946,-0.169412619,0.680614361,0.068503703,-0.327610062,-0.378993854,-0.463287156,-0.395188151,-6.829236804,-4.865502517,-4.452903779,-3.75091441,-3.665559872,-3.033898679
Ethiopia,-6.66234143,-5.826596569,-4.780213262,-4.002754641,-5.230469874,-2.677278203,-3.814448325,-1.701994904,-3.51143696,-8.230808193,-8.88036366,-3.760400444,-5.764230504,-5.592003549,-2.651278615,-4.12228972,-3.787920745,-3.567435102,-2.882350064,-0.932116785,-1.320751331,-1.607127794,-1.171938787,-1.930531162,-2.582328858,-1.947067005,-2.340485188,-3.243369512,-3.029237163,-2.528271527,-3.548707411,-3.073854561,-1.932151161,-1.932151161,-1.932151161,-1.868294977
